source_type,target_query,dead_brand,dead_brand_status,likely_listicle_sources,hrdlf_replacement_fit,pitch_angle,action
dead_brand,"streetwear brands" listicles,Crooks & Castles (crooksandcastles.com),Dormant/dead — minimal operations since ~2023,"Complex, Highsnobiety, FashionBeans, Man of Many, GQ roundups",HIGH — same indie streetwear lane + still operating,"Replace dead link with a brand that's been here for 20 years","Search site:complex.com crooks castles; check if link is dead; pitch replacement"
dead_brand,"streetwear brands" listicles,Diamond Supply Co. (diamondsupplyco.com),Reduced to near-nothing — barely operational,"Hypebeast, Complex, streetwear directories",HIGH — same skate-adjacent streetwear positioning,"19 years running vs. Diamond's decline — HRDLF is still here","Search listicles mentioning Diamond Supply; check URLs; pitch swap"
dead_brand,"streetwear brands" listicles,10.Deep (10deep.com),Went dormant ~2023-2024,"FashionBeans, Complex, indie streetwear roundups",HIGH — same NYC/indie positioning,"Active independent brand replaces inactive one","Search for 10.Deep mentions in roundups; check if site is dead"
dead_brand,"streetwear brands" listicles,Mishka (mishkanyc.com),Effectively dead — brand shut down,"Hypebeast, Complex, early streetwear listicles",MEDIUM — different aesthetic but same space,"Running for 20 years while others folded","Search for Mishka in old listicles; verify dead link"
dead_brand,"skate brands" listicles,Alife (alifenewyork.com),Closed NYC store — minimal online presence,"Grailed, skatewear roundups, indie brand lists",MEDIUM — skate-adjacent,"Venice Beach skate roots — founder actually skated","Check alife URLs in old skate brand listicles"
dead_brand,"streetwear brands 2024" roundups,Pyer Moss (pyermoss.com),Effectively shut down operations 2024,"BoF, Vogue, Complex, Highsnobiety",MEDIUM — different market segment but same lists,"Established independent brand that's still shipping product","Search for Pyer Moss in 2023-2024 roundups; check if featured alongside living brands"
dead_brand,indie brand directories,Daily Paper (dailypaperclothing.com),Financial restructuring reported,"European streetwear roundups, Highsnobiety",LOW — European brand vs. US-based HRDLF,"If list needs a US indie replacement","Monitor — may not be fully dead"
outdated_listicle,"best indie streetwear 2024",N/A — listicle is dated not dead,Lists from 2024 need 2026 updates,"FashionBeans, Man of Many, GQ, Esquire",HIGH — pitch for updated version inclusion,"19 years + AI rebuild + Solana = strongest 2026 story","Search 'best indie streetwear 2024' and pitch for 2026 update"
outdated_listicle,"underground streetwear brands 2023",N/A — 2023 content is stale,Two years old — editors may update or write new versions,"Complex, Highsnobiety, various blog posts",HIGH — HRDLF ranks #1 for similar 2026 query,"Already ranking for 'underground streetwear 2026' — prove relevance","Search for 2023 listicles; offer to provide updated entry"
outdated_listicle,"streetwear brands to watch 2024",N/A — 2024 content is stale,One year old,"Hypebeast, GQ, blog roundups",HIGH — 19-year brand with 2025-2026 innovations,"Not a new brand — but the AI rebuild and HRDLFcoin are new angles","Search for 2024 'brands to watch'; pitch updated version with HRDLF"
