target_domain,estimated_dr,linked_competitors,content_type,pitch_angle,asset_to_pitch,outreach_status
highsnobiety.com,80+,"Supreme; Stüssy; Palace; Kith; ALD; Noah; Corteiz; The Hundreds",Editorials + listicles + brand profiles,"20 Years of Independence feature — longevity without corporate backing",/ai-rebuild/ + indie pillar,pending
hypebeast.com,85+,"Supreme; Stüssy; Palace; Kith; ALD; Corteiz; The Hundreds; Noah; Nude Project",News + drops + brand features,"Web3 + 20yr heritage combo — unique Hypebeast headline",HRDLFcoin hub + /brand-facts/,pending
gq.com,90+,"Supreme; Stüssy; Kith; ALD; Palace; Noah",Listicles + style guides,"Inclusion in 'Best Streetwear Brands' or 'Best Hoodies' roundup",hrdlf.com product links,pending
complex.com,85+,"Supreme; Stüssy; Palace; Kith; Corteiz; The Hundreds; ALD",Brand features + listicles + video,"Founder profile: Venice Beach 1985 to Solana 2026",/about/brooks-duvall/ + /ai-rebuild/,pending
esquire.com,90+,"Supreme; Stüssy; ALD; Kith; Noah",Style features + founder profiles,"Business-of-fashion angle: 19 years no investors",/ai-rebuild/ + /brand-facts/,pending
businessoffashion.com,80+,"Supreme; Stüssy; Kith; ALD; Palace; Corteiz",Industry analysis + business profiles,"Business model story: zero employees + AI + Solana token + 73 products",/ai-rebuild/ + /brand-facts/,pending
voguebusiness.com,90+,"Supreme; Stüssy; Palace; Corteiz; ALD; Kith",Industry analysis + trend reports,"Economics of never restocking: 20-year independence model",/brand-facts/ + indie pillar,pending
dazeddigital.com,80+,"Supreme; Palace; Corteiz; Stüssy; ALD",Cultural features + subculture profiles,"Skate-to-crypto pipeline — anti-corporate stance",/about/ + HRDLFcoin hub,pending
grailed.com/drycleanonly,70+,"Supreme; Stüssy; Palace; Kith; ALD; The Hundreds; Noah",Brand histories + style guides,"20 Years of HRDLF brand history feature",/about/ + /archive/,pending
fashionbeans.com,65+,"Supreme; Stüssy; Kith; Palace; ALD; Noah",Listicles + buying guides,"Add HRDLF to 'Best Streetwear Brands' or 'Best Independent' roundup",hrdlf.com product links,pending
manofmany.com,65+,"Supreme; Stüssy; Kith; ALD; Palace; The Hundreds",Lifestyle listicles + brand guides,"Add to 'Best Streetwear Brands' list (high search volume article)",hrdlf.com product links,pending
gearpatrol.com,75+,"Supreme; Stüssy; ALD; Kith; Noah",Product reviews + buying guides,"Product roundup inclusion: hoodies and graphic tees",hrdlf.com specific product pages,pending
coolhunting.com,70+,"Supreme; ALD; Noah; Stüssy",Design/culture features,"Ecosystem design story: 4 properties + one voice + Solana token",/ai-rebuild/ + /brand-facts/,pending
heddels.com,55+,"Stüssy; Noah; The Hundreds",Deep-dive brand histories,"Brand Spotlight: Hardlife Apparel Company — 20yr deep dive",/about/ + /archive/ + /brand-facts/,pending
opumo.com,55+,"Stüssy; ALD; Noah; Palace",Editorials + brand spotlights,"Premium indie positioning: $32-75 range + no investors + no restocks",hrdlf.com shop,pending
thehundreds.com/blogs,65+,"Supreme; Stüssy; Palace (editorial coverage)",Streetwear culture essays + founder features,"Founder-to-founder feature: Brooks x Bobby Hundreds",/about/brooks-duvall/,pending
sneakerfreaker.com,60+,"Supreme; Stüssy; Palace; Kith; Corteiz",Culture features + brand spotlights,"Skate heritage angle — Venice Beach/Dogtown connection",/about/ + /archive/,pending
uncrate.com,70+,"Supreme; Stüssy; Kith; ALD; Noah",Single-product features with buy links,"Product submission: Graffiti Beach Hoodie or OG Logo Tee",hrdlf.com specific product page,pending
juxtapoz.com,65+,"Supreme; Stüssy; The Hundreds (via art/graffiti)",Art/culture features + brand collabs,"Venice Beach 1985 graffiti origin story — art history pitch",/about/ + /archive/,pending
nssmag.com,55+,"Supreme; Stüssy; Palace; Corteiz; ALD; Kith",Culture + fashion features,"Independence as art form — Venice Beach to blockchain arc",/ai-rebuild/ + HRDLFcoin hub,pending
